confl,SELS_mx,nrSELS,pavedkm,unpavedkm,PA_dist,vieh_sum,cattle_sum,pop_sum,forest,shrub,grass,crop,set_num,set_area
"0",A2,"2","31.62","262.99","0","6399.50018310547","4661.1258392334","47.2954521207139","0.06","13.42","1049.07","0.01","0","0.92"
"0",A3,"2","39.2","190.88","29.24","4058.80131530762","22221.2789916992","964.983877382241","394.83","990.97","147.51","15.26","1","0.39"
"0",A3,"2","1.14","728.84","47.05","3109.68801879883","1842.86363983154","35406.1918279072","7.75","1523.59","223.43","49.48","4","16.37"
"0",A3,"1","0","34.88","71.89","40246.2652587891","1912.20929718018","56.8882249426097","0.01","84.73","1264.1","0.07","0","0.04"
"0",A3,"2","1.14","728.84","47.05","3109.68801879883","1842.86363983154","35406.1918279072","7.75","1523.59","223.43","49.48","4","16.37"
"0",A3,"1","110.4","396.39","94.54","10553.4604797363","682.110368728638","41.3427224112675","0.18","440.73","887.7","0.1","0","0.5"
"0",A3,"2","0","0","2.32","4812.68966674805","12905.413269043","197.80468949955","0.92","1513.6","132.33","88.51","0","1.3"
"0",A3,"2","27.55","261.67","60.95","8420.22401428223","3927.98964500427","7.31748697347939","0","1891.03","5.14","0.75","0","0.02"
"0",A3,"2","0","360.39","45.49","4889.76762390137","37990.8553466797","243.632933597313","40.79","573.3","916.44","341.58","1","0.7"
"0",A3,"1","51.05","306.68","0","9520.96524047852","797.695407867432","187.561082642525","0.51","106.57","1489.94","0.07","0","1.27"
"0",A3,"2","110.6","435.13","77.64","1970.01502990723","12624.3649902344","63.9433397906832","5.62","1498.22","412.54","6.8","0","0.14"
"0",A3,"1","367.62","157.57","83.41","21146.6680297852","1331.35330486298","22.0070644286461","0.06","99.53","661.31","0.64","0","0"
"0",A3,"2","50.8","89.7","31.68","9024.32192993164","4566.59735107422","35.0839206445962","0.11","422.82","1227.5","0","0","0.01"
"0",A3,"1","0","31.59","135.51","43578.2727050781","1061.79302978516","55.6698248367757","1.31","101.56","731.42","0.15","0","0.45"
"0",A3,"2","27.55","261.67","60.95","8420.22401428223","3927.98964500427","7.31748697347939","0","1891.03","5.14","0.75","0","0.02"
"0",A3,"2","134.02","408.74","0","12714.4730834961","1262.89376068115","28728.187777631","1.28","266.95","967.01","0.39","1","7.71"
"0",A3,"1","84.4","332.06","103.51","15845.342956543","329.414221286774","54.7076578596607","0.4","175.58","1411.91","0.09","0","0.02"
"0",A3,"2","72.34","81.12","89.55","2065.15646362305","8951.49526977539","541.462871128693","16.31","1808.69","43.11","15.61","1","0.71"
"0",A3,"1","38.65","116.74","41.33","10162.2604064941","747.113201141357","19.095311476849","0","101.58","1242.64","0","0","0"
"0",A3,"1","639.34","312.69","47.45","10650.8375549316","6840.13803100586","1515.85640852246","6","1678.58","28.19","12.3","1","3.33"
"0",A3,"2","61.37","1163.72","52.55","27843.934173584","915.823474884033","79.1034033098258","0.11","65.82","1578.94","0.08","0","0.32"
"0",A3,"2","0","95.24","96.99","47268.4211425781","1130.71162796021","66.1117547014728","0.28","242.84","1203.29","0.26","0","0.09"
"0",A3,"1","0","67.72","0","11694.1717529297","91.8355615139008","9397.62991096359","1.92","477.05","1395.57","0.01","1","5.95"
